id retweet_count favorite_count
872820683541237760 3620 14415
872620804844003328 3616 20340
872486979161796608 8833 39836
872122724285648897 7969 33675
871879754684805121 10930 37144
871762521631449091 3414 19861
871515927908634625 3395 19795
871166179821445120 5592 0
871102520638267392 5412 20542
871032628920680449 3753 22255
870804317367881728 6101 32998
870726314365509632 3 117
870656317836468226 2598 12179
870374049280663552 25838 81299
870308999962521604 4093 21473
870063196459192321 8223 35991
869772420881756160 9901 41735
869702957897576449 6260 27781
869596645499047938 3101 15734
869227993411051520 3750 20157
868880397819494401 14308 64598
868639477480148993 2069 0
868622495443632128 5240 26358
868552278524837888 2069 9980
867900495410671616 4136 23866
867774946302451713 7274 33536
867421006826221569 2477 15921
867072653475098625 119 0
867051520902168576 7796 31855
866720684873056260 4774 19837
866686824827068416 3453 19066
866450705531457537 35079 120889
866334964761202691 14338 51975
866094527597207552 8315 0
865718153858494464 5589 25389
865359393868664832 4981 26203
865006731092295680 7657 27751
864873206498414592 8683 31993
864279568663928832 3016 14499
864197398364647424 8899 29880
863907417377173506 4126 20456
863553081350529029 4173 15198
863471782782697472 2440 0
863432100342583297 5231 23653
863427515083354112 96 2240
863079547188785154 1102 8719
863062471531167744 2440 8466
862831371563274240 5105 19065
862722525377298433 3526 16969
862457590147678208 4963 20396
862096992088072192 23302 74029
861383897657036800 10728 35967
861288531465048066 4171 17123
861005113778896900 3808 16651
860981674716409858 2170 0
860924035999428608 820 0
860563773140209665 2170 7493
860524505164394496 5314 23552
860276583193509888 3493 18268
860184849394610176 5892 16657
860177593139703809 31074 0
859924526012018688 4108 19522
859851578198683649 3536 15397
859607811541651456 1583 18583
859196978902773760 30436 89762
859074603037188101 13735 33875
858860390427611136 8225 0
858843525470990336 3516 15563
858471635011153920 4884 21538
858107933456039936 2928 15745
857989990357356544 2613 16167
857746408056729600 10777 34345
857393404942143489 1664 5921
857263160327368704 4576 20093
857214891891077121 18 228
857062103051644929 173 0
857029823797047296 4066 19000
856602993587888130 10862 0
856543823941562368 2929 16348
856526610513747968 1916 11904
856330835276025856 689 0
856288084350160898 17 523
856282028240666624 6444 27894
855862651834028034 26 347
855860136149123072 1044 5056
855857698524602368 2151 11943
855851453814013952 18101 45840
855818117272018944 5551 26824
855459453768019968 8385 30152
855245323840757760 6112 0
855138241867124737 46 0
854732716440526848 6248 23067
854482394044301312 7044 29620
854365224396361728 4805 19117
854120357044912130 7687 32373
854010172552949760 3233 16412
853760880890318849 5946 28977
853639147608842240 10436 35298
853299958564483072 3676 15761
852936405516943360 2069 0
852912242202992640 1892 9207
852672615818899456 2227 15177
852553447878664193 3622 16624
852311364735569921 10205 33698
852226086759018497 7020 20359
852189679701164033 1638 11666
851953902622658560 9956 0
851861385021730816 23 0
851591660324737024 3585 16532
851464819735769094 7339 24751
851224888060895234 5929 21092
850753642995093505 9615 31607
850380195714523136 2720 13351
850333567704068097 348 3514
850145622816686080 3969 16690
850019790995546112 5079 20904
849776966551130114 7900 31176
849668094696017920 5145 0
849412302885593088 3268 16257
849336543269576704 1964 11694
849051919805034497 8857 43474
848690551926992896 4495 25846
848324959059550208 4786 25392
848213670039564288 777 8388
848212111729840128 3198 16745
847978865427394560 3396 0
847971574464610304 444 0
847962785489326080 5315 24126
847842811428974592 1394 5611
847617282490613760 441 7185
847606175596138505 3551 19298
847251039262605312 4479 21029
847157206088847362 6123 20490
847116187444137987 3338 22005
846874817362120707 4102 20631
846514051647705089 12140 45901
846505985330044928 3217 14510
846153765933735936 9503 32621
846139713627017216 10373 31809
846042936437604353 3030 16479
845812042753855489 9147 30168
845677943972139009 5012 25907
845397057150107648 1894 7869
845306882940190720 5655 24048
845098359547420673 8029 0
844979544864018432 2703 14046
844973813909606400 3375 15590
844704788403113984 10862 39947
844580511645339650 3296 17028
844223788422217728 2314 14065
843981021012017153 3076 15637
843856843873095681 4867 22128
843604394117681152 2895 17436
843235543001513987 6363 22238
842846295480000512 3794 15730
842765311967449089 1342 6980
842535590457499648 3695 18696
842163532590374912 6112 25300
842115215311396866 3197 14487
841833993020538882 16141 0
841680585030541313 8174 26549
841439858740625411 3885 13067
841320156043304961 5747 20468
841314665196081154 4953 16394
841077006473256960 5592 23697
840761248237133825 1850 0
840728873075638272 17035 0
840698636975636481 2 183
840696689258311684 1037 12733
840632337062862849 1850 9296
840370681858686976 4806 17061
840268004936019968 6059 19975
839990271299457024 2420 13922
839549326359670784 8225 28546
839290600511926273 150 0
839239871831150596 6914 28228
838952994649550848 4206 20341
838921590096166913 2191 11602
838916489579200512 36 0
838831947270979586 11693 0
838561493054533637 1401 11344
838476387338051585 5085 23436
838201503651401729 10681 0
838150277551247360 353 1746
838085839343206401 1 147
838083903487373313 3340 18304
837820167694528512 8315 35516
837482249356513284 466 3987
837471256429613056 2419 13281
837366284874571778 5625 21996
837110210464448512 2534 16663
836989968035819520 2435 13220
836753516572119041 4892 20025
836677758902222849 2357 13119
836648853927522308 578 0
836397794269200385 29377 0
836380477523124226 3153 15344
836260088725786625 4547 22118
836001077879255040 4548 19882
835685285446955009 8653 0
835574547218894849 3844 18526
835536468978302976 1810 0
835309094223372289 22325 0
835297930240217089 3189 17104
835264098648616962 1810 8047
835246439529840640 77 2176
835172783151792128 6102 27215
835152434251116546 3206 23396
834931633769889797 1752 11264
834786237630337024 5847 22091
834574053763584002 2692 14251
834477809192075265 11363 0
834458053273591808 1786 10025
834209720923721728 5087 21468
834167344700198914 3872 16428
834089966724603904 2260 10472
834086379323871233 2360 13618
833863086058651648 2551 13980
833826103416520705 3969 18775
833732339549220864 228 0
833722901757046785 3414 21612
833479644947025920 2189 15485
833124694597443584 5145 21067
832998151111966721 2360 13860
832769181346996225 39 0
832757312314028032 3856 17561
832682457690300417 3122 12387
832645525019123713 553 3044
832636094638288896 2967 16524
832397543355072512 2370 12459
832369877331693569 3396 17927
832273440279240704 2487 11800
832215909146226688 6598 0
832215726631055365 9993 0
832088576586297345 2 69
832040443403784192 10346 0
832032802820481025 4953 18615
831939777352105988 6540 25054
831926988323639298 35 357
831911600680497154 6954 28876
831670449226514432 1933 10918
831650051525054464 2069 7498
831552930092285952 2450 9387
831322785565769729 1638 9634
831315979191906304 1192 6825
831309418084069378 2614 12257
831262627380748289 2191 12440
830956169170665475 1592 8329
830583320585068544 17964 69880
830173239259324417 6091 0
830097400375152640 3201 10261
829878982036299777 5373 0
829861396166877184 2092 12794
829501995190984704 11363 33181
829449946868879360 2164 10940
829374341691346946 9956 36186
829141528400556032 7928 25606
829011960981237760 17357 55458
828801551087042563 3634 0
828770345708580865 6275 26727
828708714936930305 12020 38287
828650029636317184 1442 9931
828409743546925057 1232 6604
828408677031882754 1378 8025
828381636999917570 2381 13220
828376505180889089 1143 7724
828372645993398273 3164 13135
828361771580813312 181 2298
828046555563323392 3066 12318
828011680017821696 2301 10849
827933404142436356 5596 21069
827653905312006145 3219 16153
827600520311402496 1018 7754
827324948884643840 3277 16627
827199976799354881 2405 11078
826958653328592898 5373 22623
826848821049180160 10963 38227
826615380357632002 4237 0
826598799820865537 270 5366
826598365270007810 2516 10572
826476773533745153 4503 19328
826240494070030336 2778 13912
826204788643753985 999 5113
826115272272650244 3365 16421
825876512159186944 2006 10983
825829644528148480 2672 13358
825535076884762624 18466 54677
825147591692263424 4908 19211
825120256414846976 1369 0
825026590719483904 1369 6658
824796380199809024 5902 0
824775126675836928 3780 15714
824663926340194305 1862 10586
824325613288833024 11175 12387
824297048279236611 4159 15831
824025158776213504 631 5015
823939628516474880 2909 11182
823719002937630720 12055 0
823699002998870016 2593 13231
823581115634085888 2847 13694
823333489516937216 27 733
823322678127919110 4324 16547
823269594223824897 10597 0
822975315408461824 3704 18188
822872901745569793 47188 139038
822859134160621569 2462 13912
822647212903690241 6894 0
822610361945911296 3187 15550
